cluster,n,m,modularity,connectivity,connectivity_normalized_log10(n),connectivity_normalized_log2(n),connectivity_normalized_sqrt(n)/5,conductance
138,512,5512,0.0008040152322767353,1.0,0.3691031216541514,0.1111111111111111,0.2209708691207961,0.6905022600297595
6,512,4675,0.0006685289040643339,1.0,0.3691031216541514,0.1111111111111111,0.2209708691207961,0.8431181731237102
240,512,2596,0.00037762123729124527,0.0,0.0,0.0,0.0,0.815415244596132
55,511,2503,0.0003610073014610319,1.0,0.3692188315155379,0.11114594325018258,0.22118697760190442,0.862898145865856
251,509,1846,0.000268804216761474,0.0,0.0,0.0,0.0,0.8366516237501106
143,512,3135,0.00045704460922851777,0.0,0.0,0.0,0.0,0.773621691879987
221,510,1038,0.00015046242637925476,0.0,0.0,0.0,0.0,0.8979601867780782
296,511,1453,0.00021202608472286404,0.0,0.0,0.0,0.0,0.8373537807130464
66,511,1288,0.00018602322331654693,0.0,0.0,0.0,0.0,0.898085140053806
264,512,5208,0.0007642095663658654,0.0,0.0,0.0,0.0,0.4510671936758893
174,512,4233,0.0005999228653866534,0.0,0.0,0.0,0.0,0.8695873191921992
9,512,1818,0.00024988338775876575,0.0,0.0,0.0,0.0,0.9361870162691518
293,507,938,0.0001366645916971866,0.0,0.0,0.0,0.0,0.8801737353091467
200,508,928,0.00013506674336446754,0.0,0.0,0.0,0.0,0.8867394886190273
258,510,1228,0.0001801259604178873,1.0,0.3693348408206978,0.11118086553081183,0.22140372138502384,0.7511903555870733
256,512,1782,0.00026156488072588246,0.0,0.0,0.0,0.0,0.6581622865912142
156,512,7028,0.0010217817494814502,1.0,0.3691031216541514,0.1111111111111111,0.2209708691207961,0.7030087897227857
17,512,5479,0.0007911049003315637,1.0,0.3691031216541514,0.1111111111111111,0.2209708691207961,0.7913278616723478
250,511,2657,0.0003827423487605419,1.0,0.3692188315155379,0.11114594325018258,0.22118697760190442,0.8629423295161457
99,512,2230,0.00031995416759648395,1.0,0.3691031216541514,0.1111111111111111,0.2209708691207961,0.8847664324100868
144,511,2609,0.0003794086050955352,1.0,0.3692188315155379,0.11114594325018258,0.22118697760190442,0.8171432576394729
184,511,3801,0.0005385504054564942,0.0,0.0,0.0,0.0,0.8768627705066736
314,512,5487,0.0008044519946033842,1.0,0.3691031216541514,0.1111111111111111,0.2209708691207961,0.5132185947480482
56,512,3624,0.0005276138478079548,1.0,0.3691031216541514,0.1111111111111111,0.2209708691207961,0.7730603043396581
4,512,3329,0.0004736997102936147,1.0,0.3691031216541514,0.1111111111111111,0.2209708691207961,0.8777002204261573
136,512,3102,0.00045332956028094136,0.0,0.0,0.0,0.0,0.7370072064434082
239,512,3147,0.0004569431671050569,1.0,0.3691031216541514,0.1111111111111111,0.2209708691207961,0.8112687037092566
276,512,1321,0.00019242306363269522,0.0,0.0,0.0,0.0,0.8594381783358161
